State	Haunted_Places_Year	Haunted_Places_Witness_Count_Description	Audio_Evidence_Count_Description	Visual_Evidence_Count_Description	Morning_Event_Count_Description	Evening_Event_Count_Description	Dusk_Event_Count_Description	Avg_Daylight_Hours_In_Year_Description	Appar_Orb_Count_Description	Appar_Ghost_Count_Description	Appar_UFO_Count_Description	Murder_Event_Count_Description	Death_Event_Count_Description	Supernatural_Event_Count_Description	Binge_Drinking_Rate_Description	Annual_Alcohol_Deaths_Description	Violent_Crime_Per_100k_Description	Homicide_Incidents_Per_100K_Description	Anxiety_Disorder_Count_Description	Attention_Deficit/Hyperactivity_Disorder_Count_Description	Bipolar_Disorder_Count_Description	Primary_Depressive_Disorder_Count_Description	Trauma_And_Stressor_Related_Disorder_Count_Description	Primary_Schizophrenia_And_Other_Psychotic_Disorders_Count_Description	Co_Occurring_Mental_Health_And_Substance_Use_Disorders_Count_Description	Ozone_ppb_Description	SO2_ppb_Description	CO_ppb_Description	PM25_ugm3_Description	PM25_sulfate_ugm3_Description	PM25_nitrate_ugm3_Description	Extreme_Precipitation_Event_Rate_Description	Precipitation_Impact_Rate_Description	Precipitation_Variability_Description
arizona	2014	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Short daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents				Moderate Homicide Rate								Poor Air Quality	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
arkansas	2016	Few Witnesses	Some Evidence	Little Evidence	Occasional Events	Rare Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Moderate Sightings	Moderate Sightings	Few Incidents	Some Incidents	Few Paranormal Incidents	Moderate Alcohol Consumption	Few Alcohol-Related Deaths		High Homicide Rate								Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution	Good Air Quality	Stable Weather Patterns	Moderate Precipitation Impact	Moderate Variability
arkansas	2014	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Short daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents				Moderate Homicide Rate								Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Poor Air Quality	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Moderate Variability
california	2024	Many Witnesses	Some Evidence	Some Evidence	Rare Events	Frequent Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Moderate Sightings	Moderate Sightings	Few Incidents	Few Incidents	Moderate Paranormal Activity																				
california	2023	Moderate Witnesses	Some Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Many Incidents	Few Paranormal Incidents				High Homicide Rate								Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
california	2022	Many Witnesses	Some Evidence	Some Evidence	Occasional Events	Rare Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Moderate Sightings	Moderate Sightings	Few Incidents	Some Incidents	Few Paranormal Incidents				High Homicide Rate	Moderate Cases	Moderate Cases	Moderate Cases	High Prevalence	High Prevalence	High Prevalence	Few Reported Cases	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
california	2021	Few Witnesses	Some Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Short daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents				Moderate Homicide Rate	Moderate Cases	Moderate Cases	Moderate Cases	High Prevalence	High Prevalence	High Prevalence	Few Reported Cases	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Poor Air Quality	Poor Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
california	2020	Many Witnesses	Some Evidence	Strong Evidence	Occasional Events	Frequent Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Frequent Sightings	Moderate Sightings	Few Incidents	Some Incidents	Frequent Paranormal Activity				Moderate Homicide Rate	Moderate Cases	Moderate Cases	High Prevalence	High Prevalence	High Prevalence	High Prevalence	Few Reported Cases	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Poor Air Quality	Poor Air Quality	Moderate Air Pollution	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
california	2019	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents	Moderate Alcohol Consumption	High Alcohol-Related Deaths		Moderate Homicide Rate	Moderate Cases	Moderate Cases	High Prevalence	High Prevalence	High Prevalence	High Prevalence	Few Reported Cases	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
california	2018	Few Witnesses	Little Evidence	Little Evidence	Occasional Events	Rare Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents	Moderate Alcohol Consumption	High Alcohol-Related Deaths		Moderate Homicide Rate	Moderate Cases	Moderate Cases	High Prevalence	High Prevalence	High Prevalence	High Prevalence	Moderate Cases	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Poor Air Quality	Poor Air Quality	Moderate Air Pollution	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
california	2017	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents	Moderate Alcohol Consumption	High Alcohol-Related Deaths		Moderate Homicide Rate	Moderate Cases	Moderate Cases	High Prevalence	High Prevalence	High Prevalence	High Prevalence	Few Reported Cases	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Poor Air Quality	Moderate Air Pollution	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
california	2016	Many Witnesses	Strong Evidence	Some Evidence	Occasional Events	Rare Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Some Incidents	Moderate Paranormal Activity	Moderate Alcohol Consumption	High Alcohol-Related Deaths		Moderate Homicide Rate								Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Poor Air Quality	Moderate Air Pollution	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
california	2015	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Frequent Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents	Moderate Alcohol Consumption	High Alcohol-Related Deaths		Moderate Homicide Rate								Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Poor Air Quality	Moderate Air Pollution	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
california	2014	Moderate Witnesses	Little Evidence	Some Evidence	Occasional Events	Rare Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Moderate Sightings	Moderate Sightings	Some Incidents	Some Incidents	Few Paranormal Incidents				Moderate Homicide Rate								Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Poor Air Quality	Moderate Air Pollution	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
california	2013	Moderate Witnesses	Little Evidence	Little Evidence	Rare Events	Frequent Events	Occasional Events	Short daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents				Moderate Homicide Rate								Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Poor Air Quality	Poor Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
colorado	2024	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events		Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents																				
colorado	2019	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events		Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents	Moderate Alcohol Consumption	Few Alcohol-Related Deaths		Moderate Homicide Rate	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Poor Air Quality	Good Air Quality	Moderate Air Pollution	Good Air Quality	Good Air Quality	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
colorado	2018	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events		Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents	Moderate Alcohol Consumption	Few Alcohol-Related Deaths		Moderate Homicide Rate	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Poor Air Quality	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Good Air Quality	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
colorado	2016	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events		Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents	Moderate Alcohol Consumption	Few Alcohol-Related Deaths		Moderate Homicide Rate								Poor Air Quality	Good Air Quality	Moderate Air Pollution	Good Air Quality	Good Air Quality	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
colorado	2014	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events		Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents				Moderate Homicide Rate								Poor Air Quality	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Good Air Quality	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
connecticut	2024	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events		Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Some Incidents	Few Paranormal Incidents																				
connecticut	2020	Moderate Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events		Moderate Sightings	Moderate Sightings	Moderate Sightings	Few Incidents	Some Incidents	Few Paranormal Incidents				Few Homicides	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Good Air Quality	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
connecticut	2019	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events		Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents	Moderate Alcohol Consumption	Few Alcohol-Related Deaths		Few Homicides	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Good Air Quality	Good Air Quality	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
connecticut	2018	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events		Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents	Moderate Alcohol Consumption	Few Alcohol-Related Deaths		Few Homicides	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Good Air Quality	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
connecticut	2016	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events		Moderate Sightings	Few Sightings	Moderate Sightings	Some Incidents	Few Incidents	Few Paranormal Incidents	Moderate Alcohol Consumption	Few Alcohol-Related Deaths		Few Homicides								Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Good Air Quality	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
connecticut	2014	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events		Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Some Incidents	Few Paranormal Incidents				Few Homicides								Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Poor Air Quality	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
delaware	2022	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events		Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents				Moderate Homicide Rate	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Good Air Quality		Moderate Air Pollution	Stable Weather Patterns	Low Precipitation Impact	Moderate Variability
florida	2024	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Some Incidents	Few Paranormal Incidents																				
florida	2022	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents				Few Homicides	Few Reported Cases	Few Reported Cases	Moderate Cases	Moderate Cases	Moderate Cases	Few Reported Cases	High Prevalence	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
florida	2021	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Frequent Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents				Moderate Homicide Rate								Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
florida	2020	Moderate Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Moderate Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents				Moderate Homicide Rate	Few Reported Cases	Few Reported Cases	Moderate Cases	Moderate Cases	Few Reported Cases	Few Reported Cases	High Prevalence	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
florida	2018	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents	Moderate Alcohol Consumption	High Alcohol-Related Deaths		Moderate Homicide Rate	Few Reported Cases	Few Reported Cases	Moderate Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
florida	2017	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Short daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Some Incidents	Few Paranormal Incidents	Moderate Alcohol Consumption	High Alcohol-Related Deaths		Moderate Homicide Rate	Few Reported Cases	Few Reported Cases	Moderate Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
florida	2016	Moderate Witnesses	Little Evidence	Little Evidence	Rare Events	Frequent Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Some Incidents	Moderate Paranormal Activity	Moderate Alcohol Consumption	High Alcohol-Related Deaths		Moderate Homicide Rate								Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
florida	2015	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Frequent Events	Occasional Events	Short daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents	Moderate Alcohol Consumption	High Alcohol-Related Deaths		Moderate Homicide Rate								Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
florida	2014	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents				Moderate Homicide Rate								Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
georgia	2024	Moderate Witnesses	Some Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Short daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Many Incidents	Few Paranormal Incidents																				
georgia	2021	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Short daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents				Moderate Homicide Rate	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Moderate Cases	Good Air Quality	Good Air Quality	Poor Air Quality	Moderate Air Pollution	Moderate Air Pollution	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
georgia	2020	Moderate Witnesses	Little Evidence	Some Evidence	Rare Events	Rare Events	Occasional Events	Short daylight duration	Moderate Sightings	Moderate Sightings	Moderate Sightings	Few Incidents	Some Incidents	Moderate Paranormal Activity				Moderate Homicide Rate	Few Reported Cases	Few Reported Cases	Moderate Cases	Few Reported Cases	Few Reported Cases	Few Reported Cases	Moderate Cases	Good Air Quality	Good Air Quality	Poor Air Quality	Moderate Air Pollution	Moderate Air Pollution	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
georgia	2019	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Short daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents	Low Alcohol Consumption	Few Alcohol-Related Deaths		Moderate Homicide Rate								Moderate Air Pollution	Good Air Quality	Poor Air Quality	Moderate Air Pollution	Poor Air Quality	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
georgia	2017	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Short daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents	Low Alcohol Consumption	Few Alcohol-Related Deaths		Moderate Homicide Rate								Moderate Air Pollution	Good Air Quality	Poor Air Quality	Moderate Air Pollution	Poor Air Quality	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
georgia	2016	Few Witnesses	Some Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Short daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents	Low Alcohol Consumption	Few Alcohol-Related Deaths		Moderate Homicide Rate								Moderate Air Pollution	Good Air Quality	Poor Air Quality	Moderate Air Pollution	Moderate Air Pollution	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
georgia	2014	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Short daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Few Incidents	Few Paranormal Incidents				Moderate Homicide Rate								Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Poor Air Quality	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
georgia	2013	Few Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Short daylight duration	Moderate Sightings	Few Sightings	Moderate Sightings	Few Incidents	Some Incidents	Few Paranormal Incidents				Moderate Homicide Rate								Good Air Quality	Good Air Quality	Moderate Air Pollution	Moderate Air Pollution	Poor Air Quality	Good Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns
